x,y,z,type
-773.9088454592594,250.42327001666854,0.0,CAF
143.8748527346163,653.5360579167686,0.0,CAF
-425.82016636766576,-627.1174924455094,0.0,CAF
-612.619227842644,65.19768825631832,0.0,CAF
-636.1419548896081,-560.2525514410651,0.0,CAF
745.818259119527,297.7548113314381,0.0,CAF
-535.8365965156961,-30.562062053112754,0.0,CAF
-23.54974639559896,601.5317586615886,0.0,CAF
-555.1156964535119,-274.32426794452283,0.0,CAF
168.52603493045513,-524.6505861807952,0.0,CAF
252.93765881317518,-715.1528877922212,0.0,CAF
-614.4152198401488,-336.6436008844863,0.0,CAF
204.3664062080927,-733.8121320848805,0.0,CAF
600.295226118174,-720.1753078914379,0.0,CAF
607.0659570114217,251.74244997943742,0.0,CAF
-718.7257993058412,-627.4830483388067,0.0,CAF
157.01897115883196,717.3176144299216,0.0,CAF
17.201788839816913,-459.91540559817065,0.0,CAF
537.8328495677899,562.7669402375716,0.0,CAF
610.7850908823605,-666.184291824859,0.0,CAF
-412.29459831566146,-553.2434145304494,0.0,CAF
747.5506761790666,129.02692597294492,0.0,CAF
-521.6275978805704,14.5602501673809,0.0,CAF
-704.3737570602949,-760.4977122955918,0.0,CAF
793.8968059553824,-793.8014435484353,0.0,CAF
-386.2129800156156,-190.64375584839752,0.0,CAF
-593.8328336740552,-612.2886381652273,0.0,CAF
737.9349668118957,266.26932330438694,0.0,CAF
705.9726667501088,-126.70326199033252,0.0,CAF
-690.0852897527134,-680.8542087602291,0.0,CAF
-52.81011159388311,-734.9405872337552,0.0,CAF
-512.7906815034678,-294.0960736515656,0.0,CAF
56.61825037797303,738.8536246654867,0.0,CAF
-239.67274800682628,-118.6769260722806,0.0,CAF
766.9728197273032,-628.7863345670845,0.0,CAF
767.767506451863,442.41958267026666,0.0,CAF
736.7270429905652,455.0392078562729,0.0,CAF
60.90955869059462,566.1046244807219,0.0,CAF
101.31143176720445,666.6801763409842,0.0,CAF
386.09536638038094,-611.1442892818615,0.0,CAF
682.0208088718828,-243.15665460729565,0.0,CAF
-82.27709534055293,330.7819916041349,0.0,CAF
-503.81072151594435,-707.428532829502,0.0,CAF
91.80697854147172,580.0275358950059,0.0,CAF
-709.3643896905292,-690.2632995790148,0.0,CAF
49.24355757405988,777.5707618860299,0.0,CAF
497.01773939440886,400.3965486755553,0.0,CAF
128.31488666773953,662.849786328607,0.0,CAF
116.63299181671346,582.3480211307201,0.0,CAF
-359.3207812565188,-604.5324957335257,0.0,CAF
761.807356017666,-277.8685707360587,0.0,CAF
765.9079395163935,271.3871058105508,0.0,CAF
780.1646193549925,-743.3324790451045,0.0,CAF
-527.7466856596793,-184.84254275911258,0.0,CAF
-550.6495570614869,-557.5029353740888,0.0,CAF
782.3102735113034,581.1083098404072,0.0,CAF
100.46906383917133,552.6585251011736,0.0,CAF
40.025191569168555,569.3628400514162,0.0,CAF
783.2162163773014,-704.2338921967724,0.0,CAF
244.51397953284345,566.2317743566516,0.0,CAF
696.531788462341,625.6425538847268,0.0,CAF
793.9603808933471,263.2813012200429,0.0,CAF
667.4462543434597,-723.1315425067996,0.0,CAF
584.6081101753675,-417.4473470377059,0.0,CAF
11.003232388252286,550.703595758757,0.0,CAF
144.0020026105458,723.8976205092752,0.0,CAF
-533.2777052626141,-565.7676773095086,0.0,CAF
237.36179901180708,791.7797605211556,0.0,CAF
777.5580468984372,560.2557301879633,0.0,CAF
-71.86669924882233,21.378662264102218,0.0,CAF
192.2394867913132,-355.4299950530751,0.0,CAF
-629.9910796415168,-679.3601977180571,0.0,CAF
-361.06909205055,-285.6088194332691,0.0,CAF
-642.4835549515936,-726.8665701122297,0.0,CAF
769.929054342665,503.26079830254935,0.0,CAF
240.0637338753097,-778.6324633500417,0.0,CAF
276.34912971870085,-761.9758296032726,0.0,CAF
648.6280727058886,352.2703206362264,0.0,CAF
567.2998333144596,208.36844855297477,0.0,CAF
-559.9791792078165,-106.12087582423908,0.0,CAF
540.5824656347661,529.6920787614015,0.0,CAF
161.16723586103308,654.7439817380991,0.0,CAF
-238.43303671651336,-213.03802774648693,0.0,CAF
-452.15608441957073,-672.398742010915,0.0,CAF
95.73273096079618,729.9690270849103,0.0,CAF
-637.1750476315356,299.18524743564535,0.0,CAF
-221.4426345454291,392.6245125093624,0.0,CAF
-10.357946767909652,651.0725290706339,0.0,CAF
-604.9425540833984,-597.2213778675774,0.0,CAF
99.21345881436707,523.3663724339071,0.0,CAF
-601.7955946541424,135.4162072384039,0.0,CAF
117.66608455864093,382.48430990398197,0.0,CAF
391.244936355527,-686.1945035492696,0.0,CAF
-691.6905569363237,72.93793695352872,0.0,CAF
691.2073874077914,-754.9507989581657,0.0,CAF
767.8946563277925,606.0455792570872,0.0,CAF
80.42706464577827,412.42810568538744,0.0,CAF
661.8993410060336,-607.5046240833785,0.0,CAF
-562.2519832400569,-67.35605740022197,0.0,CAF
729.7973747524054,-26.33432867845579,0.0,CAF
762.3636367248578,-467.8463791092754,0.0,CAF
157.4798894590765,491.40407237212,0.0,CAF
-290.9459354754113,490.5458107095958,0.0,CAF
-532.0379939723011,31.741377152359178,0.0,CAF
649.0572035371506,330.3369670383813,0.0,CAF
759.32793343704,525.5438140592003,0.0,CAF
118.52434622116516,244.3518634410334,0.0,CAF
-493.7023063795463,-660.3671850010828,0.0,CAF
442.7088486380062,-764.3916772459337,0.0,CAF
758.088222146727,685.4188893060996,0.0,CAF
-627.2255698400494,-598.6994951752582,0.0,CAF
-745.3478045785876,-728.3605811544018,0.0,CAF
745.1030410674232,246.48162386285298,0.0,CAF
-533.102874183211,-300.94627321726927,0.0,CAF
421.9357376580185,687.5645434624103,0.0,CAF
719.6730658815163,-57.422473343227125,0.0,CAF
756.5624236355727,138.62674160562472,0.0,CAF
718.1154799013793,276.66382566162633,0.0,CAF
562.2138382772782,479.6903900521115,0.0,CAF
666.5244177429706,-651.101137792718,0.0,CAF
-684.6814200257081,103.75588813194975,0.0,CAF
310.71138368865786,-676.1655570853275,0.0,CAF
-615.2416940336907,-726.7394202363001,0.0,CAF
732.4357346779432,82.44239017926145,0.0,CAF
-795.1266631303107,-379.2864905243542,0.0,CAF
150.78862723828502,627.5180145546874,0.0,CAF
790.6226966501968,-323.05445789451727,0.0,CAF
-306.903244904568,567.8370415402619,0.0,CAF
-666.3877316263463,200.024237945099,0.0,CAF
-581.308570894996,163.97724811907585,0.0,CAF
793.8650184864,-631.806144120411,0.0,CAF
733.4370399508884,-472.20126235986197,0.0,CAF
155.66800372708065,590.1200572969128,0.0,CAF
642.1911102369559,-662.0201333881668,0.0,CAF
-741.7240331145958,-709.3675684374274,0.0,CAF
242.74977500432124,-699.6564966633092,0.0,CAF
-19.989549869571874,782.2435198264404,0.0,CAF
619.17698269371,739.5847364520814,0.0,CAF
617.1743721478197,-721.923618685469,0.0,CAF
638.0905267382282,-691.3917547278894,0.0,CAF
127.0910691119177,543.6785651136502,0.0,CAF
568.6349070117196,-520.4705340096118,0.0,CAF
715.6042698517713,212.61207566212317,0.0,CAF
403.3559620378153,693.3021816137305,0.0,CAF
216.93835019062556,-439.984662546216,0.0,CD4_Tcell
-564.1274439100175,147.17757076188593,0.0,CD4_Tcell
763.0629610424701,52.5462756013294,0.0,CD4_Tcell
-736.8128691568176,330.7819916041349,0.0,CD4_Tcell
108.35235614680255,424.2053629433608,0.0,CD4_Tcell
-350.73816463127525,482.3446437121406,0.0,CD4_Tcell
-193.35840569949312,-482.5639772481191,0.0,CD4_Tcell
-44.418219782533924,373.52024365094985,0.0,CD4_Tcell
305.5777074480027,-661.8453023087636,0.0,CD4_Tcell
-72.86800452176738,655.1890063038525,0.0,CD4_Tcell
-302.16691202619285,186.3079450792004,0.0,CD4_Tcell
